Date	Time	Severity	PID	TID	Function	Message
30-04-2025	18:23:16.967	 INFO	 40632	 33152	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	18:23:16.971	 INFO	 40632	 33152	DllMain	"PROCESS ATTACHED"
30-04-2025	18:23:16.972	 INFO	 40632	 36396	LateInitialization	"Intialization..."
30-04-2025	18:23:16.974	 INFO	 40632	 36396	LoadDisplayDevicesName	"DisplayDevices : "
30-04-2025	18:23:16.975	 INFO	 40632	 36396	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-04-2025	18:23:16.976	 INFO	 40632	 36396	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-04-2025	18:23:16.977	 INFO	 40632	 36396	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-04-2025	18:23:16.979	 INFO	 40632	 36396	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-04-2025	18:23:20.001	ERROR	 40632	 36396	LateInitialization	"std::exception caught = GetFileVersionInfoSizeW failed with 1813
"
30-04-2025	18:23:20.002	 INFO	 40632	 36396	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe
ProductName = 
FileDescription = 
ShadowFolder = %LOCALAPPDATA%\EndpointDLP\print-shadow
ParsingMode = Hybrid
DeletePrinterShadowFiles = 1
PrinterUseDisplayDevicesList = 0
EnablePrinterEscapeProcessing = 1
EnableWatermarkForAll = 0
MaxPrintPages = 4294967295
GdiPlusToken = 29875500
ExcludedEscapes = 4117, 37, 4118, 4115, 4121, "
30-04-2025	18:23:20.004	 INFO	 40632	 36396	LateInitialization	"Intialization finished"
30-04-2025	18:24:26.525	 INFO	 27512	 29556	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	18:24:26.531	 INFO	 27512	 29556	DllMain	"PROCESS ATTACHED"
30-04-2025	18:24:26.534	 INFO	 27512	 39980	LateInitialization	"Intialization..."
30-04-2025	18:24:26.537	 INFO	 27512	 39980	LoadDisplayDevicesName	"DisplayDevices : "
30-04-2025	18:24:26.539	 INFO	 27512	 39980	LoadDisplayDevicesName	"\\.\DISPLAY1"
30-04-2025	18:24:26.541	 INFO	 27512	 39980	LoadDisplayDevicesName	"\\.\DISPLAY2"
30-04-2025	18:24:26.542	 INFO	 27512	 39980	LoadDisplayDevicesName	"\\.\DISPLAY3"
30-04-2025	18:24:26.543	 INFO	 27512	 39980	LoadDisplayDevicesName	"\\.\DISPLAY4"
30-04-2025	18:30:26.017	 INFO	 44740	  9844	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	18:30:26.021	 INFO	 44740	  9844	DllMain	"PROCESS ATTACHED"
30-04-2025	18:30:26.022	 INFO	 44740	 43596	LateInitialization	"Intialization..."
30-04-2025	18:30:26.024	 INFO	 44740	 43596	LoadDisplayDevicesName	"DisplayDevices : "
